Schema,Table
VCSCMGR,CUSTOMER_ACCESS
VCSCMGR,PF_VVD_ITN_EXCEPTION
VCSCMGR,PF_VVD_ITN_MATSON_1
VCSCMGR,PF_VVD_PDF_FORMAT
VCSCMGR,PF_VVD_ITN_MATSON_2
VCSCMGR,PF_VVD_ITN_THDPTY
VCSCMGR,CSR_GROUP_2
VCSCMGR,CSR_GROUP_1
VCSCMGR,CHAS_MESSAGE_ARCHIVE_MT
VCSCMGR,CHAS_DEPOT_EMAIL_MT
VCSCMGR,VCSC_FUNCTION
VCSCMGR,MT_TASK
VCSCMGR,MZ_CARRIER
VCSCMGR,ML_ADDITIONAL_ROLES
VCSCMGR,POV_MT
VCSCMGR,VCSC_AUDIENCE_MESSAGE
VCSCMGR,VCSC_AUDIENCE
VCSCMGR,VCSC_ACCESS_ROLE_ATTRIB
VCSCMGR,MT_BOOKING_REFERENCE
VCSCMGR,MT_BOOKING_PARTY
VCSCMGR,MT_BOOKING
VCSCMGR,MT_BOOKING_COMMODITY
VCSCMGR,POV_OVERSIZED_ML
VCSCMGR,MT_SUB_SCHEDULE
VCSCMGR,MT_SUB_TASK
VCSCMGR,SWITCH_TABLE_NAMES
VCSCMGR,SFA_REF_DATA_ML
VCSCMGR,POV_BLACKLIST_ZIP_CODE_MZ
VCSCMGR,CHAS_POOL_CHASSIS_MZ
VCSCMGR,MT_TRADE_OVERRIDE
VCSCMGR,ICUS_TRADE_2
VCSCMGR,ICUS_TRADE_1
VCSCMGR,CHAS_EXCLUSION_MT
VCSCMGR,CHAS_REF_DATA_MZ
VCSCMGR,MT_SCHEDULE
VCSCMGR,CHAS_FREE_DAY_SCHE_MZ
VCSCMGR,VCSC_WEB_SPECIAL_SERVICE
VCSCMGR,MT_NOA_LOG
VCSCMGR,MZ_CUSTOMS_IMPORT
VCSCMGR,MZ_CUSTOMS_RELEASE
VCSCMGR,FREC_SUMMARY_1
VCSCMGR,FREC_SUMMARY_2
VCSCMGR,MT_MILITARY_BOOKING
VCSCMGR,MT_MILITARY_BOOKING_STOP_MT
VCSCMGR,ICUS_FSUM_AROL_LNK_1
VCSCMGR,ICUS_FSUM_AROL_LNK_2
VCSCMGR,SHIPMENT_HDR
VCSCMGR,TRADE_1
VCSCMGR,TRADE_2
VCSCMGR,COMMODITY_LINE_DTL
VCSCMGR,WEB_AUTHORIZATION
VCSCMGR,BL_RELEASE
VCSCMGR,MT_CONTAINER_TRACK_FEED
VCSCMGR,MT_CONTAINER_MSG_ARCH
VCSCMGR,TRUNCATE_TBL_PERMISSION
VCSCMGR,AUTO_STATUS_1
VCSCMGR,AUTO_STATUS_MSG
VCSCMGR,AUTO_STATUS_2
VCSCMGR,NOA_PARAMETERS
VCSCMGR,WEB_CONSIGNEE_1
VCSCMGR,WEB_CONSIGNEE_2
VCSCMGR,VCSC_RESERVATION_POV_MT
VCSCMGR,VCSC_REQUEST_ERROR_MT
VCSCMGR,VCSC_RESERVATION_NOTE_MT
VCSCMGR,VCSC_RESERVATION_COMMODITY_MT
VCSCMGR,VCSC_REQUEST_MT
VCSCMGR,VCSC_REQUEST_QUEUE_MT
VCSCMGR,VCSC_RESERVATION_EQUIPMENT_MT
VCSCMGR,VCSC_ROLE
VCSCMGR,VCSC_ROLE_FUNCTION
VCSCMGR,VCSC_RESERVATION_PARTY_MT
VCSCMGR,VCSC_RESERVATION_MT
VCSCMGR,VCSC_RESERVATION_ERROR_MT
VCSCMGR,VCSC_RAIL_RAMP
VCSCMGR,VCSC_RESERVATION_REFERENCE_MT
VCSCMGR,MT_ORPHAN
VCSCMGR,PF_VES_CODE_THDPTY
